step,removed_node,normalized_efficiency,percent_remaining,removal_time_seconds,removed_node_names
0,,1.0,100.0,0.0,
1,38.0,0.9334200612513727,99.82078853046595,99.9565,Liège-Guillemins
2,36.0,0.8991779920282581,99.6415770609319,79.804,Louvain
3,120.0,0.8691942826976401,99.46236559139786,60.9933,Malines
4,255.0,0.7071205446173527,99.2831541218638,186.5514,Namur
5,22.0,0.6234740398643415,99.10394265232975,122.3287,Bruxelles-Midi
6,237.0,0.5588867268342941,98.9247311827957,99.5614,Etterbeek
7,164.0,0.4785808882471455,98.74551971326166,83.5765,Charleroi-Central
8,172.0,0.44369240050453995,98.56630824372759,55.5079,Hasselt
9,15.0,0.40842277535132926,98.38709677419355,43.0956,Gand-Saint-Pierre
10,228.0,0.3950363942347582,98.2078853046595,36.698,Ottignies
